,doi,title,publication_date,type,first_author_name,abstract,source,abstract_length,doi_norm,title_norm,abstract_norm,publication_year
47,10.3389/fenvs.2021.719274,Microplastics Occurrence in Surface Waters and Sediments in Five River Mouths of Manila Bay,2021-09-03,Journal,"Osorio, Ezra D.","Microplastics have been increasingly documented globally in numerous environmental compartments. However, little information exists in the Philippines despite the fact that the country is considered to be one of the largest contributors of plastics in oceans. This study, considered as one of the pioneering microplastic research, evaluated the abundance, distribution, and composition of microplastic pollution in the mouths of five rivers, namely Cañas, Meycauayan, Parañaque, Pasig and Tullahan, draining to Manila Bay. Surface water and sediments samples were collected, then passed through a stack of sieves with sizes from 2.36 mm at the top to 0.075 mm at the bottom. These samples were digested to remove organic matter, and salt solutions were added to allow the microplastics to float. Extracted particles were examined under a stereo microscope, and quantified and categorized into shape, size, color, and type. Results show that microplastics were present ubiquitously at all river mouths but with concentrations varying from 1,580 to 57,665 particles/m<sup>3</sup> (surface water) and 386 to 1,357 particles/kg (dry sediment). Fragment was the most abundant shape, while white, blue, and transparent were the most prevalent colors. Fourier Transform Infrared Spectroscopy (FTIR) analysis revealed that polypropylene (PP), high and low-density polyethylene (high-density polyethylene and low-density polyethylene) and polystyrene were the main types of microplastics present in the river mouths.",Scopus,1507,10.3389/fenvs.2021.719274,microplastics occurrence surface waters sediments river mouths manila bay,microplastics increasingly documented globally numerous environmental compartments little information exists despite fact country considered largest contributors oceans considered pioneering microplastic evaluated abundance distribution composition microplastic mouths rivers cañas meycauayan parañaque pasig tullahan draining manila bay surface water sediments samples collected passed stack sieves sizes 236 mm 0075 mm samples digested remove organic matter salt solutions added allow microplastics float extracted particles examined stereo microscope quantified categorized shape size color type results microplastics ubiquitously river mouths concentrations varying 1580 57665 particlesmsup3sup surface water 386 1357 particleskg dry sediment fragment abundant shape white blue transparent prevalent colors fourier transform infrared spectroscopy ftir analysis revealed polypropylene pp high low density polyethylene high density polyethylene low density polyethylene polystyrene main types microplastics river mouths,2021
67,10.1007/s13197-025-06441-6,"Microplastics and organic pollutants in marketed seafood products: a risk assessment in the Central Visayas, Philippines",2025-01-01,Journal,"Bucol, Lilibeth A.","This study quantified microplastics (MPs) and organic pollutants in processed seafood products sold in Central Visayas, Philippines, including dried fish (Siganus fuscescens, Sardinella pacifica, Decapterus sp.), fermented fish paste, bottled mussels, and sea urchin roe. A total of 781 microplastic particles were isolated. S. fuscescens had the highest MP density (up to 4.1 ± 0.7 particles/fish) and estimated annual intake (EAI) of 696.42 particles. Fish paste also showed high contamination, with MPCF values indicating “very high” risk in Bohol and Negros Oriental. Regenerated cellulose, alginate, PVC, and polyester were the dominant polymers detected using FTIR analysis. Organic pollutant analysis revealed Ethion as the most concerning pesticide, with a maximum concentration of 13.65 ppm in dried S. fuscescens. Other detected compounds included BHT (up to 6.05 ppm), phthalates (e.g., diethyl phthalate), PAHs, and trace PCBs. Contaminant levels were generally lowest in samples from Siquijor Island, a less-populated province. Risk assessment suggests that while most contaminants were within safe limits, the pesticide Ethion, due to its known harmful effects, presents a potential health concern. The findings emphasize the need for improved regulatory screening of microplastics and chemical residues in seafood, particularly from regions with intensive processing or agricultural runoff.",Scopus,1405,10.1007/s13197-025-06441-6,microplastics organic pollutants marketed seafood products risk assessment central visayas,quantified microplastics mps organic pollutants processed seafood products sold central visayas dried fish siganus fuscescens sardinella pacifica decapterus sp fermented fish paste bottled mussels sea urchin roe total 781 microplastic particles isolated s fuscescens highest mp density 41 07 particlesfish estimated annual intake eai 69642 particles fish paste showed high contamination mpcf values indicating high risk bohol negros oriental regenerated cellulose alginate pvc polyester dominant polymers detected ftir analysis organic pollutant analysis revealed ethion concerning pesticide maximum concentration 1365 ppm dried s fuscescens detected compounds bht 605 ppm phthalates diethyl phthalate pahs trace pcbs contaminant levels generally lowest samples siquijor island populated province risk assessment suggests contaminants safe limits pesticide ethion known harmful effects potential health concern findings emphasize need improved regulatory screening microplastics chemical residues seafood particularly regions intensive processing agricultural runoff,2025
178,10.1007/s13197-024-05978-2,Microplastics contamination in selected staple consumer food products,2024-11-01,Journal,"Espiritu, Emilyn Q.","The use of plastics in the manufacturing of food products is of concern as microplastics (MPs, 1 µm to 5 mm) find their way into food which poses risks to human health. This study is the first to report detection of MPs in selected staple food products in the Philippines, specifically sea salt, white and brown sugar, fish sauce, and rice. Raman microspectroscopy was used to identify the MPs and pigment additives. The mean MP concentration was 471 MPs kg<sup>−1</sup> with 71% identified as polyvinyl chloride (PVC) for salt, 20 MPs kg<sup>−1</sup> with 67% polyethylene terephthalate (PET) for white sugar, 67 MPs kg<sup>−1</sup> with 77% polypropylene (PP) for brown sugar, 3 MPs L<sup>−1</sup> for fish sauce, and 5 MPs kg<sup>−1</sup> with 100% PET for cooked rice. For sea salt, the highest MP contamination found was PVC that is likely from the processing of this product. This implies the need for careful use of PVC materials in their manufacture. For sugar, rice, and fish sauce, the likely contamination is from plastic packaging. The present findings provide estimation of human consumption of MPs from food items and insights on the use of plastic materials in the manufacturing processes.",Scopus,1204,10.1007/s13197-024-05978-2,microplastics contamination selected staple consumer food products,manufacturing food products concern microplastics mps 1 µm 5 mm way food poses risks human health detection mps selected staple food products specifically sea salt white brown sugar fish sauce rice raman microspectroscopy identify mps pigment additives mean mp concentration 471 mps kgsup1sup 71 identified polyvinyl chloride pvc salt 20 mps kgsup1sup 67 polyethylene terephthalate pet white sugar 67 mps kgsup1sup 77 polypropylene pp brown sugar 3 mps lsup1sup fish sauce 5 mps kgsup1sup 100 pet cooked rice sea salt highest mp contamination pvc likely processing product implies need careful pvc materials manufacture sugar rice fish sauce likely contamination packaging findings provide estimation human consumption mps food items insights materials manufacturing processes,2024
22,10.1016/j.marpolbul.2023.114573,Microplastics contamination in the fishes of selected sites in Pasig River and Marikina River in the Philippines,2023-02-01,Journal,"Espiritu, Emilyn Q.","Microplastics (MPs), <5 mm in size, are a concerning pollutant in bodies of water because they can be ingested by biological organisms, posing risks to humans and the environment. This study assessed the extent of MPs contamination in various fish species (Oreochromis niloticus, Arius manillensis, and Pterygoplichthys spp.) in selected sites along two major river systems in the Philippines – Pasig and Marikina Rivers. An optimized Raman microspectroscopy technique was used for imaging and identification of MPs using a mean laser spot size of about 1 μm, which is advantageous in the identification of fibers which have small diameters (<50 μm). It also allowed the simultaneous identification of MPs and their pigment additives, which in turn enabled the tracing of possible sources of these MPs. This is important because the fate and accumulation of MPs in rivers systems, as well as its toxicity is dependent on various factors including polymer type and surface chemistry. Majority of the MPs identified from all the fish species were composed of polypropylene and polyethylene in the form of fragments, which reflects both the widespread use of these polymers for packaging and their environmental fate as riverine plastic debris. Moreover, the detection of MPs in the fish species may affect the food chain and eventually pose health risks for humans. The study could provide guidance on waste and environmental water management in the surrounding region.",Scopus,1467,10.1016/j.marpolbul.2023.114573,microplastics contamination fishes selected sites pasig river marikina river,microplastics mps 5 mm size concerning pollutant bodies water ingested biological organisms posing risks humans environment assessed extent mps contamination fish species oreochromis niloticus arius manillensis pterygoplichthys spp selected sites major river systems pasig marikina rivers optimized raman microspectroscopy technique imaging identification mps mean laser spot size 1 μm advantageous identification fibers small diameters 50 μm allowed simultaneous identification mps pigment additives turn enabled tracing possible sources mps important fate accumulation mps rivers systems toxicity dependent factors polymer type surface chemistry majority mps identified fish species composed polypropylene polyethylene form fragments reflects widespread polymers packaging environmental fate riverine detection mps fish species affect food chain eventually pose health risks humans provide guidance environmental water management surrounding region,2023
216,10.56899/152.01.40,Microplastics in Northern Laguna Lake’s Shoreline Sediments,2023-02-01,Journal,"Manalo, Cervinia V.","Microplastic pollution, a pervasive problem in the natural environment, is hardly investigated in the largest lake in the Philippines: Laguna de Bay or Laguna Lake. This study was done to determine the microplastic profile (content and type) of the shore sediments taken from northern Laguna Lake and to identify possible sources of the microplastics found. The microplastics from the sediments were extracted and isolated using the chemical oxidation and density floatation method. To identify the possible microplastic source, a comparison of Fourier transform infrared (FTIR) spectra of the microplastics extracted with sample plastic materials found on the sites was done. Results showed that during the dry season, the mean microplastic contents of Binangonan, Tanay, and Angono sediments were 1524.42 ± 1593.45, 815.41 ± 593.64, and 295.51 ± 140.16 microplastics per kg sediment, respectively. During the wet season, the mean microplastic contents of the sediments in Binangonan, Tanay, and Angono were 1826.05 ± 614.19, 1250.73 ± 220.03, and 353.82 ± 173.07 microplastics per kg sediment, respectively. The variations observed with season might be associated with tidal and current effects on the shoreline sediments and not due to changes from the dry to the wet season. FTIR analysis of microplastic type showed that prominently occurring microplastics in the three towns varied depending on the materials associated with human activities such as fish farming (aquaculture), clothing materials, and plastic packaging. The results of this study show significant implications on the effect of anthropogenic activities on the type and abundance of microplastics found in the environment, and knowledge of the microplastic profile in Laguna Lake could help not only in its clean-up but also in the proper disposal of plastics in the area to prevent its presence in the natural environment.",Scopus,1894,10.56899/152.01.40,microplastics northern laguna lakes shoreline sediments,microplastic pervasive problem natural environment hardly largest lake laguna bay laguna lake determine microplastic profile content type shore sediments taken northern laguna lake identify possible sources microplastics microplastics sediments extracted isolated chemical oxidation density floatation method identify possible microplastic source comparison fourier transform infrared ftir spectra microplastics extracted sample materials sites results showed dry season mean microplastic contents binangonan tanay angono sediments 152442 159345 81541 59364 29551 14016 microplastics kg sediment respectively wet season mean microplastic contents sediments binangonan tanay angono 182605 61419 125073 22003 35382 17307 microplastics kg sediment respectively variations observed season associated tidal current effects shoreline sediments changes dry wet season ftir analysis microplastic type showed prominently occurring microplastics towns varied depending materials associated human activities fish farming aquaculture clothing materials packaging results significant implications effect anthropogenic activities type abundance microplastics environment knowledge microplastic profile laguna lake help clean proper disposal area prevent presence natural environment,2023
151,10.1007/s41742-025-00768-w,Microplastics in Surface Water and Gastrointestinal Tracts of Demersal Fishes (Oreochromis niloticus and Cyprinus carpio) in the Largest Wetland of the Philippines,2025-06-01,Journal,"Felicitas, Giovanni","Agusan Marsh, the Philippines' largest wetland, is in the middle of the Agusan River and serves as a catchment basin for excess flood water from upstream tributaries. This study characterizes and quantifies the level and types of microplastics (MPs) present in the surface water and gastrointestinal tract (GIT) of demersal fish Cyprinus carpio and Oreochromis niloticus from two prominent lakes in the marsh, Lake Panlabuhan, and Lake Tugno. KOH digestion, density separation, and Fourier-Transform Infrared spectroscopy (FTIR) analysis were implemented to extract and identify suspected MP particles. Analysis of water samples found microplastic abundances at 340 ± 36.25 pa/m<sup>3</sup> and 240 ± 33.17 pa/m<sup>3</sup> for Lake Tugno and Lake Panlabuhan, respectively. These microplastics varied in size, shape, and color. A total of 20 polymer types were identified in water samples with Rayon (49%) and Polyester (15%) as the most abundant types. There are 13 color variations detected from water samples with yellow and black as the most dominant colors. Further, 84% of the collected fish had MPs in the GIT. The GIT of O. niloticus of Lake Tugno had the highest average MPs (3.2 ± 1.0 MP/GIT), followed by C. carpio (2.73 ± 0.55 MP/GIT) from Lake Panlabuhan. Oreochromis niloticus of Panlabuhan had the fewest MPs (1.7 ± 0.33 MP/GIT). Fragments and fibers dominate isolated MPs, while brown MPs are consistently recorded across all samples. Ten different kinds of polymers were identified from the fish GIT with Ethylene vinyl acetate (26%), polyvinyl chloride (17%), and nylon-6 polyamide (14%) as the three most prevalent types of polymers. The MPs of different types and origins in the water and demersal fish indicate that microplastic pollution is present in the lakes of Agusan Marsh. Assessment of MPs from other fish species and lakes, as well as the possible point and non-point origins of MP in Agusan Marsh is recommended to determine the extent of MP pollution in this internationally important wetland.",Scopus,2025,10.1007/s41742-025-00768-w,microplastics surface water gastrointestinal tracts demersal fishes oreochromis niloticus cyprinus carpio largest wetland,agusan marsh largest wetland middle agusan river serves catchment basin excess flood water upstream tributaries characterizes quantifies level types microplastics mps surface water gastrointestinal tract git demersal fish cyprinus carpio oreochromis niloticus prominent lakes marsh lake panlabuhan lake tugno koh digestion density separation fourier transform infrared spectroscopy ftir analysis implemented extract identify suspected mp particles analysis water samples microplastic abundances 340 3625 pamsup3sup 240 3317 pamsup3sup lake tugno lake panlabuhan respectively microplastics varied size shape color total 20 polymer types identified water samples rayon 49 polyester 15 abundant types 13 color variations detected water samples yellow black dominant colors 84 collected fish mps git git o niloticus lake tugno highest average mps 32 10 mpgit followed c carpio 273 055 mpgit lake panlabuhan oreochromis niloticus panlabuhan fewest mps 17 033 mpgit fragments fibers dominate isolated mps brown mps consistently recorded samples different kinds polymers identified fish git ethylene vinyl acetate 26 polyvinyl chloride 17 nylon 6 polyamide 14 prevalent types polymers mps different types origins water demersal fish indicate microplastic lakes agusan marsh assessment mps fish species lakes possible point non point origins mp agusan marsh recommended determine extent mp internationally important wetland,2025
123,https://doi.org/10.21275/sr24703113853,Microplastics in Tilapia Fish (Oreochromis Niloticus) Cultured at Magat Dam Reservoir,2024-07-05,article,"Lina, Eugene M","Microplastics (MPs) have become a global concern due to their pervasive presence in the environment, originating largely from discarded plastic fragments.These particles, smaller than 5 mm, may come from various sources including cosmetics, clothing fibers, and tire particles, posing a significant threat to aquatic life and human health.This study focused on the potential presence and ingestion of MPs by Nile tilapia (Oreochromis niloticus) cultured in the Magat Dam Reservoir in Ramon, Isabela, Philippines. The research aimed to determine the presence, type, shape, and color of MPs in Nile tilapia, considering the ecological and health implications of microplastic pollution in aquatic ecosystems and food sources. Sampling was conducted in three distinct zones of the reservoir-upper, middle, and lower. MPs were extracted from their gastrointestinal tracts of the sample fishes using the Wet Peroxide Oxidation technique. The MPs were characterized in terms of type, shape, and color using established criteria. Statistical analysis, employing One -Way Analysis of Variance (ANOVA), was conducted to discern differences in MP distribution across sampling areas. Results indicate a significant prevalence of fiber in the guts of Nile tilapia, suggesting its potential as a significant pollutant in the reservoir. MPs exhibited various shapes including elongated, angular, cylindrical, and degraded, with elongated fibers dominating the gastrointestinal tracts. The color spectrum of MPs ranged from white to black, with transparent MPs being the most abundant. This study underscores the urgent need for mitigation strategies to address microplastic pollution in aquatic environments, emphasizing the importance of sustainable practices to preserve both marine ecosystems and human health. Additionally, it contributes to the fulfillment of Sustainable Development Goals 6 and 14, advocating for clean water, sanitation, and the protection of life below water.",OpenAlex,1969,10.21275/sr24703113853,microplastics tilapia fish oreochromis niloticus cultured magat dam reservoir,microplastics mps global concern pervasive presence environment originating largely discarded fragmentsthese particles smaller 5 mm come sources cosmetics clothing fibers tire particles posing significant threat aquatic life human healththis focused potential presence ingestion mps nile tilapia oreochromis niloticus cultured magat dam reservoir ramon isabela aimed determine presence type shape color mps nile tilapia considering ecological health implications microplastic aquatic ecosystems food sources sampling conducted distinct zones reservoir upper middle lower mps extracted gastrointestinal tracts sample fishes wet peroxide oxidation technique mps characterized terms type shape color established criteria statistical analysis employing way analysis variance anova conducted discern differences mp distribution sampling areas results indicate significant prevalence fiber guts nile tilapia suggesting potential significant pollutant reservoir mps exhibited shapes elongated angular cylindrical degraded elongated fibers dominating gastrointestinal tracts color spectrum mps ranged white black transparent mps abundant underscores urgent need mitigation strategies address microplastic aquatic environments emphasizing importance sustainable practices preserve ecosystems human health additionally contributes fulfillment sustainable development goals 6 14 advocating clean water sanitation protection life water,2024
185,10.22034/gjesm.2024.04.30,"Microplastics in beach sediments, seawater, and common fish in tourist destinations",2024-09-01,Journal,"Go, M.","BACKGROUND AND OBJECTIVES: The global concern over microplastic pollution has been on the rise, primarily due to its detrimental effects on marine ecosystems and the potential health risks it poses to humans. Tourism activities are the main sources of plastic waste that deteriorates into microplastics. This study monitors microplastic contamination in marine environments at tourist destinations and suggests policies and initiatives that encourage tourism operators, locals, and tourists to adopt practices that reduce microplastic pollution. This endeavor is in line with the journal’s objective to oversee the environmental consequences and advocate for improved environmental management strategies. This study aims to quantify microplastics in beach sediments, seawater, and the gastrointestinal tract and muscles of three fish species, Selar crumenophthalmus, Auxis thazard, and Sardina pilchardus, which are commonly found in the municipalities of Moalboal and Badian, tourist destinations in Southern Cebu Province, Philippines. METHODS: This study followed the approved procedures outlined in prior studies for gathering, handling, and examining microplastics found in sediment, seawater, and fish tissue samples. Sediment and seawater were collected from four sampling points at each study site using sterilized bottle containers. Sediment samples underwent oven-drying, passed through a 5-millimeter mesh, underwent density separation with a saturated salt solution, and were then filtered with filter paper. For seawater, the bottle grab method was utilized for sampling, followed by gravity filtration performed in triplicate to ensure thorough extraction of microplastics. The selection of fish species was determined by their common presence in nearby markets. Samples of gastrointestinal tract and muscle tissues were meticulously processed, treated with chemicals, and digested in order to aid in the isolation of microplastics. The quantification of microplastics was conducted under a stereomicroscope. FINDINGS: Moalboal exhibited higher average microplastic counts in sediments (0.12 items per gram) and seawater (0.06 items per gram) than Badian, which had 0.08 items per gram in sediments and 0.04 items per gram in seawater. There was no significant difference in the microplastic levels found in sediments and seawater between the two towns, as indicated by a p-value greater than 0.05. Similarly, there were no significant differences in microplastic abundance in fish between these sites. Significant disparities were noted in the abundance of microplastics across distinct fish species and anatomical segments. Auxis thazard showed significantly the highest microplastic particles (0.33 ± 0.10 in muscles; 0.077 ± 0.04 in the gastrointestinal tract) than other species. The microplastic abundance between Selar crumenophthalmus (0.20 ± 0.09; 0.055 ± 0.03), and Sardinella pilchardus (0.16 ± 0.03; 0.050 ± 0.04) did not significantly differ. In each fish sample, the presence of microplastics was notably more pronounced in the gastrointestinal tract than in the muscle tissue, demonstrating a statistically significant difference at a significance level of p<0.05. The average daily microplastic intake ranged from 4.75 to 7.60 particles based on consuming these fish species, using a per capita fish consumption rate of 34.27 kilograms per year. CONCLUSION: Moalboal and Badian, popular tourist destinations, are contaminated with microplastics, as evidenced by the presence of microplastic particles in samples of beach sediments, seawater, and fish species from these areas. The potential impacts of microplastic pollution on human health have raised concerns due to the estimated intake of microplastics through the consumption of contaminated fish. This study highlights the urgent need for strategies to address microplastic pollution and reduce human exposure. Recommendations comprise of educating the general public, implementing stringent policy measures, and conducting thorough surveillance that involves tourists, tourism operators, and the local community. These measures aim to safeguard human health, preserve the marine environment, and protect biodiversity.",Scopus,4204,10.22034/gjesm.2024.04.30,microplastics beach sediments seawater common fish tourist destinations,background objectives global concern microplastic rise primarily detrimental effects ecosystems potential health risks poses humans tourism activities main sources deteriorates microplastics monitors microplastic contamination environments tourist destinations suggests policies initiatives encourage tourism operators locals tourists adopt practices reduce microplastic endeavor line journals objective oversee environmental consequences advocate improved environmental management strategies aims quantify microplastics beach sediments seawater gastrointestinal tract muscles fish species selar crumenophthalmus auxis thazard sardina pilchardus commonly municipalities moalboal badian tourist destinations southern cebu province methods followed approved procedures outlined prior gathering handling examining microplastics sediment seawater fish tissue samples sediment seawater collected sampling points site sterilized bottle containers sediment samples underwent oven drying passed 5 millimeter mesh underwent density separation saturated salt solution filtered filter seawater bottle grab method utilized sampling followed gravity filtration performed triplicate ensure thorough extraction microplastics selection fish species determined common presence nearby markets samples gastrointestinal tract muscle tissues meticulously processed treated chemicals digested order aid isolation microplastics quantification microplastics conducted stereomicroscope findings moalboal exhibited higher average microplastic counts sediments 012 items gram seawater 006 items gram badian 008 items gram sediments 004 items gram seawater significant difference microplastic levels sediments seawater towns indicated p value greater 005 similarly significant differences microplastic abundance fish sites significant disparities noted abundance microplastics distinct fish species anatomical segments auxis thazard showed significantly highest microplastic particles 033 010 muscles 0077 004 gastrointestinal tract species microplastic abundance selar crumenophthalmus 020 009 0055 003 sardinella pilchardus 016 003 0050 004 did significantly differ fish sample presence microplastics notably pronounced gastrointestinal tract muscle tissue demonstrating statistically significant difference significance level p005 average daily microplastic intake ranged 475 760 particles consuming fish species capita fish consumption rate 3427 kilograms year conclusion moalboal badian popular tourist destinations contaminated microplastics evidenced presence microplastic particles samples beach sediments seawater fish species areas potential impacts microplastic human health raised concerns estimated intake microplastics consumption contaminated fish highlights urgent need strategies address microplastic reduce human exposure recommendations comprise educating general public implementing stringent policy measures conducting thorough surveillance involves tourists tourism operators local community measures aim safeguard human health preserve environment protect biodiversity,2024
179,,"Microplastics in commercially sold fishes from General Santos City Fish Port Complex, Philippines",2024-10-30,Journal,"Agao-Agao, Allan Jr","The excessive global production and inadequate recycling of plastics have led to the accumulation of plastic waste, which degrades into microplastics and poses a threat to marine organisms and human health. The need to study microplastic contamination in wet markets in General Santos City Fish Port Complex (GSCFPC), is crucial for assessing exposure risks and implementing measures to mitigate pollution and protect public health. This study aimed to quantify and characterize the ingested microplastics in the gastrointestinal tract of Decapterus macarellus, Euthynnus affinis, and Selar crumenophthalmus, and compare the data among the different fish species. There were seven (7.07%) of 99 individuals contained ten microplastic particles with a mean size of 0.789±0.379 mm. The most abundant microplastic recovered were microfragments (90%) with a dominant color of blue (100%). Based on the polymer composition, ethylene-propylene copolymer was the most prevalent (50%), followed by poly (vinyl stearate) (30%), polyethylene (10%), and polypropylene (10%). The results revealed that all fish species examined exhibited similar susceptibility to microplastic contamination, with D. macarellus ingesting 0.15 particles per individual, followed by S. crumenophthalmus with 0.12 particles per individual and E. affinis with 0.03 particles per individual. Additionally, there was a significant difference (p < 0.05) in microplastic size, indicating that D. macarellus was likely to ingest larger debris compared to S. crumenophthalmus. The study revealed evidence of microplastic contamination in commercial fish species at the GSCFPC. Highlighting the potential risks to human health and the environment of Southern Mindanao, further assessment of smaller fish species and trophic transfer is necessary for a comprehensive understanding of the contamination patterns.",Scopus,1870,,microplastics commercially sold fishes general santos city fish port complex,excessive global production inadequate recycling led accumulation degrades microplastics poses threat organisms human health need microplastic contamination wet markets general santos city fish port complex gscfpc crucial assessing exposure risks implementing measures mitigate protect public health aimed quantify characterize ingested microplastics gastrointestinal tract decapterus macarellus euthynnus affinis selar crumenophthalmus compare data different fish species seven 707 99 individuals contained microplastic particles mean size 07890379 mm abundant microplastic recovered microfragments 90 dominant color blue 100 polymer composition ethylene propylene copolymer prevalent 50 followed poly vinyl stearate 30 polyethylene 10 polypropylene 10 results revealed fish species examined exhibited similar susceptibility microplastic contamination d macarellus ingesting 015 particles individual followed s crumenophthalmus 012 particles individual e affinis 003 particles individual additionally significant difference p 005 microplastic size indicating d macarellus likely ingest larger compared s crumenophthalmus revealed evidence microplastic contamination commercial fish species gscfpc highlighting potential risks human health environment southern mindanao assessment smaller fish species trophic transfer necessary comprehensive understanding contamination patterns,2024
53,10.1016/j.scitotenv.2021.150912,Microplastics in dumping site soils from six Asian countries as a source of plastic additives,2022-02-01,Journal,"Tun, Thant Zin","The ubiquitous distribution of microplastics (MP) is a serious environmental issue in Asian countries. In this study, 54 open-dumping site soils collected from Cambodia, India, Indonesia, Laos, the Philippines, and Vietnam were analyzed for MP. Soil samples were also divided into light (floating) and heavy (sedimentation) fractions by density separation and analyzed for plastic additives. The highest abundance of MP was found in a soil from Cambodia at 218,182 pieces/kg. The median of MP in soils ranged from 1411 pieces/kg in India to 24,000 pieces/kg in the Philippines, suggesting that dumping sites are a major source of MP into the environment. Polyethylene, polypropylene, and polyethylene terephthalate were dominant polymers in soil samples analyzed. This indicates that daily-used plastic products are main sources of MP in dumping site soils in Asian countries. The high concentrations and burdens of phthalates and an antioxidant were detected in floating fraction accounting for 40 to 60% of the total additives in soils. Previous studies on soil pollution have assumed that the organic hydrophobic chemicals analyzed are adsorbed on the surface of soil particles. However, this result indicates that approximately half of the additives in dumping site soils were derived from MP, not soil particle. Monitoring study on soil pollution should be considered the occurrence of MP in the matrices.",Scopus,1410,10.1016/j.scitotenv.2021.150912,microplastics dumping site soils asian countries source additives,ubiquitous distribution microplastics mp environmental issue asian countries 54 open dumping site soils collected cambodia india indonesia laos vietnam analyzed mp soil samples divided light floating heavy sedimentation fractions density separation analyzed additives highest abundance mp soil cambodia 218182 pieceskg median mp soils ranged 1411 pieceskg india 24000 pieceskg suggesting dumping sites major source mp environment polyethylene polypropylene polyethylene terephthalate dominant polymers soil samples analyzed indicates daily products main sources mp dumping site soils asian countries high concentrations burdens phthalates antioxidant detected floating fraction accounting 40 60 total additives soils previous soil assumed organic hydrophobic chemicals analyzed adsorbed surface soil particles result indicates approximately half additives dumping site soils derived mp soil particle monitoring soil considered occurrence mp matrices,2022
17,10.1186/s43591-021-00017-9,Microplastics in fecal samples of whale sharks (Rhincodon typus) and from surface water in the Philippines,2021-12-01,Journal,"Yong, Mila Mi Hua","Marine plastic abundance has increased over the past 60 years and microplastics (< 5 mm) constitute a primary component of such litter. Filter-feeding megafauna, such as the whale shark, might be particularly affected by microplastic pollution as their feeding mode requires filtration of up to thousands of cubic meters of water. In addition, the habitat range of whale sharks intersects with several recognized microplastic pollution hotspots, among which is the Coral Triangle. Direct evidence for microplastic ingestion in whale sharks however, has not yet been presented. Here we show that whale shark scat collected in the Philippines from 2012 to 2019 contained a mean of 2.8 microplastics g<sup>− 1</sup>. Contrary to our expectations, the microplastic concentration in the scat remained consistent from 2012 to 2019. Water samples from the study site in 2019 indicated that the local microplastic pollution (5.83 particles m<sup>− 3</sup>) was higher than in surface waters in other whale shark habitats, but well below other pollution hot-spots found in Southeast Asia and China (range: 100–4100 particles m<sup>− 3</sup>). With the predicted growth in plastic use, leading to increased plastic marine pollution, whale sharks are expected to become more exposed to this form of pollution. To what extent microplastic ingestion impacts the overall health status of this endangered species remains an open question.",Scopus,1423,10.1186/s43591-021-00017-9,microplastics fecal samples whale sharks rhincodon typus surface water,abundance increased past 60 years microplastics 5 mm constitute primary component filter feeding megafauna whale shark particularly affected microplastic feeding mode requires filtration thousands cubic meters water addition habitat range whale sharks intersects recognized microplastic hotspots coral triangle direct evidence microplastic ingestion whale sharks whale shark scat collected 2012 2019 contained mean 28 microplastics gsup 1sup contrary expectations microplastic concentration scat remained consistent 2012 2019 water samples site 2019 indicated local microplastic 583 particles msup 3sup higher surface waters whale shark habitats hot spots southeast asia china range 1004100 particles msup 3sup predicted growth leading increased whale sharks expected exposed form extent microplastic ingestion impacts overall health status endangered species remains open question,2021
3,10.1016/j.marpolbul.2019.110685,"Microplastics in marine sediments and rabbitfish (Siganus fuscescens) from selected coastal areas of Negros Oriental, Philippines",2020-01-01,Journal,"Bucol, Lilibeth A.","The Philippines is currently ranked as the third top producer of plastic wastes, yet little research has been conducted on marine plastic pollution in this fishery-dependent, developing country. This study is the first in the nation to quantify and characterize microplastics ingested by a commercially important fish, the rabbitfish (Siganus fuscescens), in the coastal areas of Negros Oriental, central Philippines. Across all sites, the diversity of microplastic polymer types was highest in the guts of S. fuscescens from Dumaguete, a densely populated city. Microplastic particles extracted from subtidal sediment samples from Silliman Beach in Dumaguete were dominated by semi-synthetic microfibers (rayon), probably from clothing and textiles. However, these microplastic types were absent in the guts of fish, likely due to the different location and character of their feeding habitats. This study confirms for the first time the presence and diversity of microplastics in an edible finfish in the Philippines.",Scopus,1019,10.1016/j.marpolbul.2019.110685,microplastics sediments rabbitfish siganus fuscescens selected coastal areas negros oriental,currently ranked producer wastes little conducted fishery dependent developing country nation quantify characterize microplastics ingested commercially important fish rabbitfish siganus fuscescens coastal areas negros oriental central sites diversity microplastic polymer types highest guts s fuscescens dumaguete densely populated city microplastic particles extracted subtidal sediment samples silliman beach dumaguete dominated semi synthetic microfibers rayon probably clothing textiles microplastic types absent guts fish likely different location character feeding habitats confirms time presence diversity microplastics edible finfish,2020
